tour,event,to_par_gross,pos_gross,money_gross,round1,round2,round3,round4,points_gross,tour_handicap,to_par_net,money_net,pos_net,points_net,row_id
ProTee Q-School,Troon North Monument GC,-13,16,,66,65,0,0,0,-4.3,-4,,T52,0,41
ProTee Q-School,Birchwood UK Lidar,7,13,,78,71,0,0,0,-4.3,16,,T29,0,40
ProTee Q-School,Shaughnessy G&CC L mthunt,1,6,,72,75,0,0,0,-4.3,10,,14,0,39
ProTee Q-School,Quail Run IA 2,3,T12,,40,35,0,0,0,-4.3,12,,40,0,38
ProTee Q-School,Muirfield Village liDAR,-5,T10,,73,66,0,0,0,-4.3,4,,26,0,37
ProTee Q-School,Winged Foot West,16,13,,78,78,0,0,0,-4.3,25,,T27,0,36
ProTee Q-School,Stillwater Golf Links,-23,3,,62,59,0,0,0,-4.3,-14,,7,0,35
ProTee Q-School,Muirfield Village liDAR,-17,2,,66,61,0,0,0,-4.3,-8,,T7,0,34
ProTee Q-School,Firethorn Member Tees,10,9,,74,80,0,0,0,-4.3,19,,T22,0,33
gCool Tour,Sinharaja GC -The Animal,2,T7,,73,0,0,0,0,-4.3,6,,T9,0,32
WizardofCoz Noonan Club,Quinn Bros Like it hot!,5,T16,"$39,683",78,0,0,0,53,-4.7,10,"$47,393",T21,43,31
ProTee Exhibition,Shonan Seaside CC LiDAR,-5,6,,66,0,0,0,0,-4.7,0,,T17,0,30
Brace33 Short Bus Tour,Elliot Golf Par3 Lidar,3,T13,,57,0,0,0,0,-2.7,6,,T20,0,29
gCool Tour,Victory Village,-5,3,,67,0,0,0,0,-2.7,-2,,T3,0,28
Brace33 Short Bus Tour,Metamora Fields Par 3,-2,T7,,52,0,0,0,0,-0.9,-1,,T13,0,27
WizardofCoz Noonan Club,Early-1981's Loch Ness,-1,T10,"$135,135",72,0,0,0,75,-1.2,0,"$303,030",T5,110,26
ProTee Exhibition,Arizona Counrty Club,-1,T5,,71,0,0,0,0,-0.9,0,,T9,0,25
Brace33 Short Bus Tour,uk par 3 challenge,-4,T8,,25,25,0,0,0,-1.2,-2,,T13,0,24
ProTee United,Charles Schwab Challenge,14,T40,,76,78,0,0,16,-1.2,16,,T60,5,23
triplebogeysrbetter 21st,Perkins & Friends V1 L,5,T10,,77,0,0,0,0,-1.2,6,,T14,0,22
WizardofCoz Noonan Club,Crystal Park Championship,7,T35,,80,0,0,0,21,-1.2,8,,T43,13,21
ProTee Exhibition,Real Club Valderrama,-3,3,,68,0,0,0,0,-1.2,-2,,T3,0,20
gCool Tour,The Patriot,4,T5,,76,0,0,0,0,-1.2,5,,4,0,19
Brace33 Short Bus Tour,OTT PAR 3,3,T22,,28,29,0,0,0,-1.2,5,,25,0,18
