ticker,ticker_original,ipo_date_stockanalysis,ipo_price,current,name,return
SPRB,,2020-10-09,15.00,21.71,Spruce Biosciences,44.73%
SPRQ,,2020-11-25,10.00,12.84,Spartan Acquisition II,28.35%
SPT,,2019-12-13,17.00,65.05,Sprout Social,282.65%
SQFT,,2020-10-07,5.00,3.78,Presidio Property Trust,-24.40%
SQZ,,2020-10-30,16.00,25.90,SQZ Biotechnologies,61.88%
SRAC,,2019-11-08,10.00,24.87,Stable Road Acquisition,148.70%
SRSA,,2020-10-21,10.00,10.37,Sarissa Capital Acquisition,3.70%
SSPK,,2019-08-08,10.00,23.65,Silver Spike Acquisition,136.45%
STEP,,2020-09-16,18.00,37.40,StepStone Group,107.78%
STIC,,2020-11-11,10.00,14.73,Northern Star Acquisition,47.30%
STOK,,2019-06-19,18.00,67.38,Stoke Therapeutics,274.33%
STPC,,2021-01-06,10.00,12.23,Star Peak II,22.25%
STPK,,2020-08-18,10.00,34.38,Star Peak Energy Transition,243.80%
STSA,,2019-09-13,15.00,6.21,Satsuma Pharmaceuticals,-58.60%
STTK,,2020-10-09,17.00,50.36,Shattuck Labs,196.24%
STWO,,2020-09-17,10.00,10.72,ACON S2 Acquisition,7.20%
SUMO,,2020-09-17,22.00,34.13,Sumo Logic,55.11%
SV,,2020-11-24,10.00,11.04,Spring Valley Acquisition,10.40%
SVAC,,2020-09-10,10.00,10.99,Starboard Value Acquisition,9.90%
SVFA,,2021-01-08,10.00,13.06,SVF Investment,30.55%
SVOK,,2020-12-18,10.00,10.73,Seven Oaks Acquisition,7.30%
SWAV,,2019-03-07,17.00,129.94,ShockWave Medical,664.35%
SWBK,,2021-01-08,10.00,12.37,Switchback II,23.70%
SWETU,SWET,2021-01-12,10.00,10.47,Athlon Acquisition,4.65%
SWTX,,2019-09-13,18.00,85.07,Springworks Therapeutics,372.61%
SXTC,,2019-01-04,4.00,0.674,China SXT Pharmaceuticals,-83.15%
SY,,2019-05-02,13.80,13.24,So-Young International,-4.09%
SYTA,,2020-09-25,7.25,10.15,Siyata Mobile,40.00%
TACA,,2020-12-02,10.00,11.05,Trepont Acquisition I,10.50%
TARS,,2020-10-16,16.00,40.44,Tarsus Pharmaceuticals,152.75%
TBA,TBA,2021-01-15,10.00,13.00,Thoma Bravo Advantage,29.95%
TBBA,,2019-05-06,10.00,8.01,TEB Bancorp,-19.90%
TCRR,,2019-02-14,15.00,29.00,TCR2 Therapeutics,93.33%
TEKK,,2020-10-22,10.00,10.50,Tekkorp Digital Acquisition,4.95%
TELA,,2019-11-08,13.00,14.61,TELA Bio,12.35%
TFFP,,2019-10-25,5.00,17.78,TFF Pharmaceuticals,255.60%
THBR,,2019-08-09,10.00,12.66,Thunder Bridge Acquisition II,26.60%
THCA,,2019-07-12,10.00,10.89,Tuscan Holdings Corp. II,8.90%
THCB,,2019-03-05,10.00,14.99,Tuscan Holdings,49.85%
THRY,,2020-10-01,10.17,19.00,Thryv Holdings,86.82%
TIG,,2020-07-16,15.00,15.28,Trean Insurance Group,1.87%
TIGR,,2019-03-20,8.00,17.76,UP Fintech Holding,122.00%
TINV,,2020-11-24,10.00,10.46,Tiga Acquisition,4.60%
TLS,,2020-11-19,17.00,39.83,Telos,134.29%
TMDX,,2019-05-02,16.00,23.59,TransMedics Group,47.44%
TMKR,,2021-01-08,10.00,10.40,Tastemaker Acquisition,3.95%
TMPM,,2020-10-16,10.00,10.23,Turmeric Acquisition,2.30%
TMTS,,2020-10-15,10.00,10.22,Spartacus Acquisition,2.20%
TPGY,,2020-10-07,10.00,26.00,TPG Pace Beneficial Finance,160.00%
TPTX,,2019-04-17,18.00,131.67,Turning Point Therapeutics,631.50%
TREB,,2020-06-17,10.00,11.01,Trebia Acquisition,10.10%
TRNE,,2019-03-15,10.00,24.77,Trine Acquisition,147.70%
TRVI,,2019-05-07,10.00,2.95,Trevi Therapeutics,-70.50%
TSHA,,2020-09-24,20.00,30.47,Taysha Gene Therapies,52.35%
TSIA,,2020-11-10,10.00,10.40,TS Innovation Acquisitions,4.00%
TUFN,,2019-04-11,14.00,18.24,Tufin Software Technologies,30.29%
TVAC,,2020-12-11,10.00,10.70,Thayer Ventures Acquisition,7.00%
TW,,2019-04-04,27.00,64.36,Tradeweb Markets,138.37%
TWCT,,2020-09-11,10.00,10.97,TWC Tech Holdings II,9.65%
TWND,,2020-09-04,10.00,10.44,Tailwind Acquisition,4.40%
TXAC,,2020-07-08,10.00,12.96,Therapeutics Acquisition,29.60%
TXG,,2019-09-12,39.00,186.90,10X Genomics,379.22%
TZPSU,TZPS,2021-01-20,10.00,10.33,TZP Strategies Acquisition,3.30%
U,,2020-09-18,52.00,154.53,Unity Software,197.17%
UBER,,2019-05-10,45.00,54.32,Uber Technologies,20.71%
UCL,,2020-06-10,18.00,10.37,uCloudlink Group,-42.39%
UPST,,2020-12-16,20.00,64.26,Upstart Holdings,221.30%
VACQ,,2020-09-25,10.00,10.56,Vector Acquisition,5.60%
VCKA,,2021-01-07,10.00,10.33,Vickers Vantage I,3.30%
VCVC,,2020-11-24,10.00,11.65,10X Capital Venture Acquisition,16.50%
VEL,,2020-01-17,13.00,7.23,Velocity Financial,-44.38%
VERX,,2020-07-29,19.00,33.53,Vertex,76.47%
VGAC,,2020-10-02,10.00,13.95,VG Acquisition,39.50%
VHAQ,,2020-12-23,10.00,10.50,Viveon Health Acquisition,5.00%
VIAO,,2020-09-25,15.00,15.02,VIA optronics AG,0.13%
VIE,,2019-10-03,19.00,34.89,Viela Bio,83.61%
VIH,,2020-09-23,10.00,15.00,VPC Impact Acquisition,49.95%
VII,,2020-12-23,10.00,10.60,7GC & Co. Holdings,6.00%
