ticker,ticker_original,ipo_date_stockanalysis,ipo_price,current,name,return
COOL,,2020-12-17,10.00,10.80,Corner Growth Acquisition,8.00%
CPAA,,2019-07-18,10.00,8.86,Conyers Park II Acquisition,-11.40%
CPSR,,2020-07-02,10.00,10.42,Capstar Special Purpose Acquisition,4.20%
CRHC,,2020-09-09,10.00,10.74,Cohn Robbins Holdings,7.40%
CRSA,,2019-03-08,10.00,10.76,Crescent Acquisition,7.60%
CRSR,,2020-09-23,17.00,38.43,Corsair Gaming,126.06%
CRTX,,2019-05-09,17.00,32.00,Cortexyme,88.24%
CRU,,2021-01-05,10.00,10.83,Crucible Acquisition,8.30%
CRWD,,2019-06-12,34.00,223.60,CrowdStrike,557.65%
CSPR,,2020-02-06,12.00,7.64,Casper Sleep,-36.33%
CSTL,,2019-07-25,16.00,79.40,Castle Biosciences,396.25%
CTAC,,2020-10-22,10.00,10.46,Cerberus Telecom Acquisition,4.60%
CTAQ,,2020-12-10,10.00,10.84,Carney Technology Acquisition II,8.40%
CVAC,,2020-08-14,16.00,102.07,CureVac,537.94%
DADA,,2020-06-05,16.00,44.88,Dada Nexus,180.50%
DAO,,2019-10-25,17.00,34.60,Youdao,103.53%
DASH,,2020-12-09,102.00,192.10,DoorDash,88.33%
DBDR,,2020-11-06,10.00,10.41,Roman DBDR Tech Acquisition,4.10%
DCBO,,2020-12-03,52.21,53.48,Docebo,2.43%
DCRB,,2020-10-20,10.00,13.52,Decarbonization Plus Acquisition,35.15%
DCT,,2020-08-14,27.00,49.85,Duck Creek Technologies,84.61%
DDMX,,2020-12-08,10.00,10.70,DD3 Acquisition II,7.00%
DDOG,,2019-09-19,27.00,105.06,Datadog,289.11%
DEH,,2020-07-15,10.00,10.29,D8 Holdings,2.90%
DFH,,2021-01-21,13.00,21.37,Dream Finders Homes,64.35%
DFHT,,2020-07-17,10.00,16.11,Deerfield Healthcare Technology Acquisitions,61.10%
DFNS,,2019-11-07,10.00,10.80,LGL Systems Acquisition,8.00%
DFPH,,2020-03-11,10.00,11.02,DFP Healthcare Acquisitions,10.20%
DGNR,,2020-08-14,10.00,14.42,Dragoneer Growth Opportunities,44.20%
DGNS,,2020-11-17,10.00,12.96,Dragoneer Growth Opportunities II,29.60%
DLCAU,DLCA,2021-01-13,10.00,10.73,Deep Lake Capital Acquisition,7.25%
DMYD,,2020-08-14,10.00,20.15,dMY Technology Group II,101.50%
DMYI,,2020-11-13,10.00,11.97,dMY Technology Group III,19.70%
DMYT,,2020-02-21,10.00,22.76,dMY Technology Group,127.60%
DNB,,2020-07-01,22.00,24.74,Dun & Bradstreet,12.43%
DNK,,2020-01-17,13.50,2.86,Phoenix Tree Holdings,-78.79%
DOYU,,2019-07-17,11.50,12.80,DouYu,11.30%
DPHC,,2019-02-28,10.00,18.21,DiamondPeak Holdings,82.10%
DRVN,,2021-01-15,22.00,29.84,Driven Brands,35.61%
DSAC,,2020-10-29,10.00,10.29,Duddell Street Acquisition,2.85%
DT,,2019-08-01,16.00,45.09,Dynatrace,181.78%
DTIL,,2019-03-28,16.00,13.20,Precision BioSciences,-17.50%
DUNE,,2020-12-18,10.00,11.11,Dune Acquisition,11.10%
DUO,,2019-11-01,13.00,8.80,Fangdd Network Group,-32.31%
DWIN,,2020-12-11,10.00,10.38,Delwinds Insurance Acquisition,3.80%
DYN,,2020-09-17,19.00,20.30,Dyne Therapeutics,6.84%
EACPU,EAC,2021-01-15,10.00,10.40,Edify Acquisition,4.00%
EAR,,2020-10-16,18.00,62.71,Eargo,248.39%
EBC,,2020-10-15,10.00,16.21,Eastern Bankshares,62.10%
EBON,,2020-06-26,5.23,5.13,Ebang International,-2.01%
EDTK,,2020-07-23,5.00,3.39,Skillful Craftsman,-32.28%
EDTX,,2020-12-11,10.00,10.55,EdtechX Holdings Acquisition II,5.50%
EH,,2019-12-12,12.50,77.71,EHang Holdings,521.68%
EIC,,2019-07-24,19.00,15.13,Eagle Point Income,-20.39%
EMPW,,2020-10-07,10.00,10.21,Empower,2.10%
ENFAU,ENFA,2021-01-12,10.00,10.41,890 5th Avenue Partners,4.10%
ENPC,,2020-09-16,25.00,25.72,Executive Network Partnering,2.88%
ENVIU,ENVI,2021-01-14,10.00,10.82,Environmental Impact Acquisition,8.20%
EPHY,,2021-01-08,10.00,11.01,Epiphany Technology Acquisition,10.05%
EPWR,,2021-01-08,10.00,10.36,Empowerment & Inclusion Capital I,3.60%
EQD,,2020-09-16,10.00,10.50,Equity Distribution Acquisition,5.00%
ERES,,2020-07-23,10.00,10.54,East Resources Acquisition,5.40%
ESSC,,2020-02-20,10.00,10.08,East Stone Acquisition,0.80%
ETAC,,2020-07-31,10.00,10.85,E.merge Technology Acquisition,8.50%
ETNB,,2019-11-11,16.00,20.62,89bio,28.88%
EUCR,,2020-10-23,10.00,10.50,Eucrates Biomedical Acquisition,5.00%
EUSGU,EUSG,2021-01-22,10.00,11.20,European Sustainable Growth Acquisition,12.00%
EXPC,,2019-09-13,10.00,14.85,Experience Investment,48.50%
FAII,,2020-08-12,10.00,11.90,Fortress Value Acquisition II,19.00%
FCAC,,2020-09-22,10.00,10.92,Falcon Capital Acquisition,9.15%
FCAX,FCAX,2021-01-13,10.00,10.82,Fortress Capital Acquisition,8.15%
FDMT,,2020-12-11,23.00,47.39,4D Molecular Therapeutics,106.02%
FEAC,,2020-03-06,10.00,17.68,Flying Eagle Acquisition,76.80%
FGNA,,2020-09-30,10.00,10.97,FG New America Acquisition,9.70%
FHTX,,2020-10-23,16.00,20.91,Foghorn Therapeutics,30.69%
FIII,,2020-08-18,10.00,13.10,Forum Merger III,31.00%
FINMU,FINM,2021-01-13,10.00,10.57,Marlin Technology,5.65%
FLAC,,2020-12-09,10.00,11.02,Frazier Lifesciences Acquisition,10.20%
FLLC,,2019-07-25,10.00,9.95,Fellazo,-0.50%
FMAC,,2020-10-06,10.00,10.95,FirstMark Horizon Acquisition,9.50%
FMTX,,2020-06-19,20.00,38.73,Forma Therapeutics,93.63%
FOUR,,2020-06-05,23.00,71.17,Shift4 Payments,209.43%
FOXWU,FOXW,2021-01-20,10.00,10.60,FoxWayne Enterprises Acquisition,6.00%
FPAC,,2020-12-03,10.00,10.45,Far Peak Acquisition,4.45%
FREQ,,2019-10-03,14.00,38.56,Frequency Therapeutics,175.39%
FRLN,,2020-08-07,18.00,17.81,Freeline Therapeutics,-1.06%
FROG,,2020-09-16,44.00,64.75,JFrog,47.16%
FRX,,2020-11-25,10.00,10.62,Forest Road Acquisition,6.16%
FSDC,,2020-08-12,10.00,12.75,FS Development,27.50%
FSLY,,2019-05-17,16.00,103.26,Fastly,545.38%
FSRV,,2019-11-01,10.00,17.97,Finserv Acquisition,79.70%
FST,,2020-08-21,10.00,10.69,Fast Acquisition,6.90%
FTCV,,2020-12-04,10.00,11.32,FinTech Acquisition V,13.20%
FTHM,,2020-07-31,10.00,41.72,Fathom Holdings,317.20%
FTIV,,2020-09-25,10.00,12.48,FinTech Acquisition IV,24.80%
FTOC,,2020-08-26,10.00,13.28,FTAC Olympus Acquisition,32.80%
FUBO,,2020-10-08,10.00,37.73,FuboTV,277.30%
FULC,,2019-07-18,16.00,13.72,Fulcrum Therapeutics,-14.25%
FUSE,,2020-06-26,10.00,12.20,Fusion Acquisition,22.00%
FUSN,,2020-06-26,17.00,12.61,Fusion Pharmaceuticals,-25.82%
FUTU,,2019-03-08,12.00,99.84,Futu Holdings,732.00%
FVAC,,2020-04-30,10.00,14.39,Fortress Value Acquisition,43.90%
FVAM,,2020-10-14,10.00,10.50,5:01 Acquisition,5.00%
FVRR,,2019-06-13,21.00,244.19,Fiverr International,"1,063%"
FVT,,2021-01-05,10.00,11.40,Fortress Value Acquisition III,14.00%
GAN,,2020-05-05,8.50,23.09,GAN Limited,171.65%
GATO,,2020-10-28,7.00,12.67,Gatos Silver,81.00%
GBIO,,2020-06-12,19.00,30.21,Generation Bio,59.00%
GBS,,2020-12-23,17.00,7.85,"GBS, Inc.",-53.82%
GDRX,,2020-09-23,33.00,44.54,GoodRx Holdings,34.97%
GFL,,2020-03-03,19.00,31.24,GFL Environmental,64.39%
GFX,,2020-12-18,10.00,11.03,Golden Falcon Acquisition,10.30%
GHIV,,2020-01-24,10.00,11.54,Gores Holdings IV,15.40%
GHLD,,2020-10-22,15.00,16.16,Guild Holdings Company,7.73%
GHSI,,2019-04-05,4.00,0.785,Guardion Health Sciences,-80.39%
GHVI,,2020-12-11,10.00,11.28,Gores Holdings VI,12.80%
GIK,,2020-05-14,10.00,16.17,GigCapital3,61.70%
GIX,,2019-06-06,10.00,10.70,GigCapital2,7.00%
GLAQ,,2020-12-11,10.00,10.75,Globis Acquisition,7.50%
GLEO,,2019-10-18,10.00,10.43,Galileo Acquisition,4.25%
GLSI,,2020-09-25,5.75,36.74,Greenwich LifeSciences,538.96%
GLTO,,2020-10-29,15.00,12.33,Galecto,-17.80%
GMBT,GMBT,2021-01-20,10.00,11.31,Queen's Gambit Growth Capital,13.05%
GMHI,,2019-02-01,10.00,18.00,Gores Metropoulos,80.00%
GMIIU,GMII,2021-01-20,10.00,11.20,Gores Metropoulos II,11.95%
GNACU,GNAC,2021-01-15,10.00,10.64,Group Nine Acquisition,6.40%
GNFT,,2019-03-27,22.00,5.48,Genfit,-75.09%
GNLN,,2019-04-18,17.00,5.13,Greenlane Holdings,-69.82%
GNPK,,2020-11-24,10.00,10.65,Genesis Park Acquisition,6.50%
GNRS,,2020-02-11,10.00,10.63,Greenrose Acquisition,6.30%
GO,,2019-06-20,22.00,40.00,Grocery Outlet,81.80%
GOAC,,2020-08-05,10.00,10.47,GO Acquisition,4.70%
GOCO,,2020-07-15,21.00,15.08,GoHealth,-28.19%
GOED,,2020-07-31,9.00,9.56,1847 Goedeker,6.22%
GOSS,,2019-02-08,16.00,10.44,Gossamer Bio,-34.75%
GP,,2020-08-28,20.00,30.12,GreenPower Motor,50.60%
GPACU,GPAC,2021-01-12,10.00,10.58,Global Partner Acquisition II,5.80%
GRAY,,2020-09-25,16.00,30.86,Graybug Vision,92.88%
GRCL,,2021-01-08,19.00,21.30,Gracell Biotechnologies,12.11%
GRCY,,2020-07-24,10.00,10.20,Greencity Acquisition,2.00%
GRIL,,2020-02-13,5.00,2.14,Muscle Maker,-57.20%
GRNV,,2019-11-19,10.00,10.36,Greenvision Acquisition,3.60%
GRSV,,2020-08-06,10.00,10.89,Gores Holdings V,8.85%
GRTX,,2019-11-07,12.00,11.93,Galera Therapeutics,-0.58%
GSAH,,2020-06-30,10.00,12.24,GS Acquisition Holdings II,22.40%
GSAQ,,2021-01-08,10.00,10.50,Global Synergy Acquisition,4.95%
GSX,,2019-06-06,10.50,91.86,GSX Techedu,774.86%
GTH,,2020-06-19,16.00,21.31,Genetron Holdings,33.19%
GWAC,,2020-10-20,10.00,10.44,Good Works Acquisition,4.40%
GXGX,,2019-05-21,10.00,10.36,GX Acquisition,3.60%
HAAC,,2020-11-13,10.00,12.20,Health Assurance Acquisition,22.00%
HAPP,,2019-10-25,5.50,1.97,Happiness Biotech Group,-64.27%
HARP,,2019-02-08,14.00,21.74,Harpoon Therapeutics,55.29%
HBT,,2019-10-11,16.00,15.20,HBT Financial,-5.00%
HCAC,,2019-03-01,10.00,19.49,Hennessy Capital Acquisition Corp IV,94.90%
HCAR,,2020-12-23,10.00,10.10,Healthcare Services Acquisition,1.00%
HCAT,,2019-07-25,26.00,51.26,Health Catalyst,97.15%
HCCCU,HCCC,2021-01-15,10.00,10.34,Healthcare Capital,3.40%
HCCO,,2019-12-13,10.00,8.97,Healthcare Merger Corp,-10.30%
HCDI,,2020-08-28,6.00,3.35,Harbor Custom Development,-44.17%
HCICU,HCIC,2021-01-15,10.00,12.63,Hennessy Capital Investment V,26.30%
HEC,,2020-06-09,10.00,11.89,Hudson Executive Investment Corp.,18.85%
HFEN,,2020-11-24,7.00,5.93,HF Enterprises,-15.29%
HHR,,2019-05-09,13.50,29.95,Headhunter Group,121.85%
HIGA,,2020-10-21,10.00,10.37,H.I.G. Acquisition,3.70%
HKIB,,2019-08-05,8.38,6.45,AMTD International,-23.03%
HLAHU,HLAH,2021-01-13,10.00,10.47,Hamilton Lane Alliance Holdings I,4.70%
HLXA,,2020-10-20,10.00,11.20,Helix Acquisition,12.00%
HMCO,,2020-12-09,10.00,12.31,HumanCo Acquisition,23.10%
HOL,,2020-08-05,10.00,10.40,Holicity,4.00%
HOOK,,2019-04-18,14.00,12.73,HOOKIPA Pharma,-9.07%
HOTH,,2019-02-15,5.60,2.29,Hoth Therapeutics,-59.11%
HPX,,2020-07-15,10.00,10.45,HPX Corp.,4.50%
HRMY,,2020-08-19,24.00,36.65,Harmony Biosciences,52.71%
HSAQ,,2020-08-04,10.00,12.42,Health Sciences Acquisitions 2,24.20%
HTPA,,2020-12-03,10.00,11.14,Highland Transcend Partners I,11.40%
HUDI,,2021-01-22,8.00,7.27,Huadi International Group,-9.19%
HUIZ,,2020-02-12,10.50,6.51,Huize Holding,-38.00%
HYAC,,2019-06-07,10.00,9.52,Haymaker Acquisition II,-4.80%
HYFM,,2020-12-10,20.00,73.12,Hydrofarm,265.60%
HZAC,,2020-08-21,10.00,10.80,Horizon Acquisition,8.00%
HZON,,2020-10-20,10.00,10.58,Horizon Acquisition II,5.80%
IACA,,2020-10-02,10.00,12.63,ION Acquisition Corp 1,26.25%
IBEX,,2020-08-07,19.00,19.83,IBEX Holdings,4.34%
IDYA,,2019-05-23,10.00,18.38,IDEAYA Biosciences,83.80%
IFS,,2019-07-19,46.00,32.70,Intercorp Financial Services,-28.91%
IGAC,,2020-10-01,10.00,10.64,IG Acquisition,6.40%
IGMS,,2019-09-18,16.00,94.07,IGM Biosciences,487.94%
IH,,2020-10-09,12.00,22.32,iHuman,86.00%
IHRT,,2019-07-18,17.00,13.60,iHeartMedia,-20.03%
IIAC,,2020-11-19,10.00,10.62,Investindustrial Acquisition,6.20%
IIII,,2020-12-18,10.00,11.12,Insu Acquisition III,11.20%
IKT,,2020-12-23,10.00,6.65,Inhibikase Therapeutics,-33.50%
IMAB,,2020-01-17,14.00,55.04,I-Mab,293.14%
IMAC,,2019-02-13,5.13,1.72,IMAC Holdings,-66.44%
IMNM,,2020-10-02,12.00,14.65,Immunome,22.08%
IMPX,,2020-10-01,10.00,10.90,AEA-Bridges Impact Corp,9.00%
IMRA,,2020-03-12,16.00,14.04,IMARA Inc.,-12.25%
INAQ,,2020-09-03,10.00,16.50,INSU Acquisition II,64.95%
INBX,,2020-08-19,17.00,36.23,Inhibrx,113.12%
INDO,,2019-12-19,11.00,7.18,Indonesia Energy,-34.73%
INKA,,2021-01-07,10.00,10.65,KludeIn I Acquisition,6.50%
INMB,,2019-02-04,8.00,20.66,Inmune Bio,158.19%
INMD,,2019-08-08,14.00,59.87,InMode,327.64%
INSU,,2019-03-20,10.00,11.66,Insurance Acquisition,16.60%
INTZ,,2020-10-09,8.00,24.63,Intrusion,207.88%
INZY,,2020-07-24,16.00,26.38,Inozyme Pharma,64.84%
IPHA,,2019-10-17,5.50,4.40,Innate Pharma,-20.00%
IPOB,,2020-04-28,10.00,29.50,Social Capital Hedosophia II,195.00%
IPOC,,2020-04-22,10.00,16.02,Social Capital Hedosophia III,60.20%
IPOD,,2020-10-09,10.00,17.22,Social Capital Hedosophia IV,72.15%
IPOE,,2020-10-09,10.00,21.61,Social Capital Hedosophia V,116.05%
IPOF,,2020-10-09,10.00,15.27,Social Capital Hedosophia VI,52.65%
IPV,,2019-02-04,10.00,16.18,InterPrivate Acquisition,61.80%
ITAC,,2020-09-09,10.00,10.28,Industrial Tech Acquisitions,2.80%
ITOS,,2020-07-24,19.00,32.73,iTeos Therapeutics,72.26%
IVA,,2020-07-10,14.40,18.22,Inventiva,26.49%
IVAN,,2021-01-07,10.00,11.58,Ivanhoe Capital Acquisition,15.80%
JAMF,,2020-07-22,26.00,34.04,Jamf Holding,30.92%
JCICU,JCIC,2021-01-22,10.00,10.51,Jack Creek Investment,5.05%
JFIN,,2019-05-10,10.50,3.68,Jiayin Group,-64.95%
JFK,,2019-03-28,10.00,9.00,8i Enterprises Acquisition,-10.00%
JFU,,2019-08-15,9.50,1.53,9F Inc.,-83.89%
JIH,,2019-11-08,10.00,12.44,Juniper Industrial Holdings,24.40%
JMIA,,2019-04-12,14.50,56.97,Jumia Technologies AG,292.90%
JUPW,,2020-10-30,7.50,5.80,Jupiter Wellness,-22.72%
JWS,,2020-05-14,10.00,14.83,Jaws Acquisition,48.30%
JYAC,,2020-11-19,10.00,10.47,Jiya Acquisition,4.70%
KAIR,,2021-01-06,10.00,10.48,Kairos Acquisition,4.80%
KBNT,,2020-08-12,5.00,5.53,Kubient,10.60%
KC,,2020-05-08,17.00,53.81,Kingsoft Cloud Holdings,216.53%
KCAC.DEL,,2020-06-26,10.00,23.50,Kensington Capital Acquisition,135.00%
KINZ,,2020-12-15,10.00,10.67,Kins Technology Group,6.70%
KLAQ,,2021-01-08,10.00,10.41,KL Acquisition,4.10%
KLDO,,2019-02-28,15.00,12.64,Kaleido Biosciences,-15.77%
KNTE,,2020-12-03,20.00,37.40,Kinnate Biopharma,86.98%
KRBP,,2020-10-16,12.00,9.22,Kiromic BioPharma,-23.17%
KRKR,,2019-11-08,14.50,5.48,36Kr Holdings,-62.21%
KRON,,2020-10-09,19.00,32.41,Kronos Bio,70.55%
KROS,,2020-04-08,16.00,67.05,Keros Therapeutics,319.06%
KRTX,,2019-06-28,16.00,102.86,Karuna Therapeutics,542.88%
KRUS,,2019-08-01,14.00,23.74,Kura Sushi USA,69.57%
KSMT,,2020-08-06,10.00,10.27,Kismet Acquisition One,2.70%
KUKE,,2021-01-12,10.00,9.34,Kuke Music,-6.60%
KWAC,,2020-11-20,10.00,10.46,Kingswood Acquisition,4.60%
KYMR,,2020-08-21,20.00,79.48,Kymera Therapeutics,297.40%
LATN,,2019-10-18,10.00,10.29,Union Acquisition Corp. II,2.90%
LCA,,2019-05-07,10.00,25.49,Landcadia Holdings II,154.90%
LCAP,,2020-08-14,10.00,10.50,Lionheart Acquisition II,5.00%
LCY,,2020-10-09,10.00,10.50,Landcadia Holdings III,5.00%
LEAP,,2020-09-11,10.00,14.78,Ribbit LEAP,47.80%
LEGN,,2020-06-05,23.00,27.44,Legend Biotech,19.28%
LEGO,,2021-01-20,10.00,10.45,Legato Merger Corp,4.50%
LESL,,2020-10-29,17.00,28.35,Leslie's,66.74%
LEVI,,2019-03-21,17.00,20.76,Levi Strauss & Co.,22.12%
LFTR,,2020-10-21,10.00,11.10,Lefteris Acquisition,11.00%
LGVW,,2020-05-21,10.00,21.43,Longview Acquisition,114.25%
LHC,,2021-01-08,10.00,10.54,Leo Holdings II,5.40%
LI,,2020-07-30,11.50,34.45,Li Auto,199.52%
LINX,,2019-06-26,9.40,6.92,Linx S.A.,-26.38%
LIVK,,2019-12-11,10.00,10.21,LIV Capital Acquisition,2.10%
LIZI,,2020-01-17,11.00,3.79,Lizhi Inc.,-65.55%
LJAQU,LJAQ,2021-01-11,10.00,10.40,LightJump Acquisition,4.00%
LKNCY,,2019-05-17,17.00,9.63,Luckin Coffee,-43.35%
LMACU,LMACA,2021-01-22,10.00,12.78,Liberty Media Acquisition,27.80%
LMND,,2020-07-02,29.00,153.46,Lemonade,429.17%
LMPX,,2019-12-05,5.00,26.54,LMP Automotive Holdings,430.80%
LNFA,,2020-11-19,10.00,10.30,L&F Acquisition,3.00%
LOAK,,2020-05-06,10.00,24.20,Live Oak Acquisition,142.00%
LOKB,,2020-12-03,10.00,11.27,Live Oak Acquisition II,12.65%
LSAC,,2020-03-06,10.00,19.00,LifeSci Acquisition,90.00%
LSAQ,,2020-11-20,10.00,11.01,LifeSci Acquisition II,10.10%
LSF,,2020-09-23,22.00,42.45,Laird Superfood,92.95%
LSPD,,2020-09-11,30.50,69.15,Lightspeed POS,126.72%
LTRN,,2020-06-11,15.00,15.36,Lantern Pharma,2.40%
LU,,2020-10-30,13.50,15.48,Lufax Holding,14.63%
LUNG,,2020-10-01,19.00,65.99,Pulmonx,247.32%
LUXA,,2020-10-27,10.00,10.93,Lux Health Tech Acquisition,9.30%
LVGO,,2019-07-25,28.00,139.77,Livongo Health,399.18%
LWAC,,2021-01-08,10.00,10.50,Locust Walk Acquisition,5.00%
LXEH,,2020-10-01,9.25,8.56,Lixiang Education,-7.42%
LYFT,,2019-03-29,72.00,47.82,Lyft,-33.59%
LYRA,,2020-05-01,16.00,11.40,Lyra Therapeutics,-28.75%
MAAC,,2020-10-07,10.00,10.39,Montes Archimedes Acquisition,3.90%
MACU,,2020-10-27,10.00,10.25,Mallard Acquisition,2.50%
MASS,,2020-12-18,20.00,65.52,908 Devices,227.60%
MAX,,2020-10-28,19.00,44.23,MediaAlpha,132.76%
MCAC,,2020-06-05,10.00,11.50,Mountain Crest Acquisition,15.00%
MCAD,,2021-01-08,10.00,10.54,Mountain Crest Acquisition II,5.40%
MCBS,,2019-10-03,13.50,14.90,MetroCity Bankshares,10.37%
MCFE,,2020-10-22,20.00,19.24,McAfee,-3.83%
MCMJ,,2019-11-05,10.00,10.48,Merida Merger Corp. I,4.80%
MDJH,,2019-01-08,5.00,4.42,MDJM Ltd.,-11.60%
MDLA,,2019-07-19,21.00,39.56,Medallia,88.38%
MDWT,,2020-12-17,70.00,55.00,Midwest Holding,-21.43%
MEC,,2019-05-09,17.00,13.36,Mayville Engineering,-21.41%
MEDS,,2020-02-13,6.50,6.00,Trxade Group,-7.69%
MEG,,2020-07-23,15.00,42.49,Montrose Environmental Group,183.23%
MIRM,,2019-07-18,15.00,19.05,Mirum Pharmaceuticals,27.00%
MITO,,2019-02-15,12.00,1.81,Stealth BioTherapeutics,-84.96%
MKD,,2019-12-30,5.38,1.52,Molecular Data,-71.75%
MLAC,,2020-07-15,10.00,10.15,Malacca Straits Acquisition,1.50%
MNCL,,2019-02-07,10.00,12.20,Monocle Acquisition,22.00%
MNPR,,2019-12-19,8.00,7.00,Monopar Therapeutics,-12.56%
MNRL,,2019-04-18,18.00,13.50,Brigham Minerals,-25.03%
MNSO,,2020-10-15,20.00,30.29,Miniso Group,51.43%
MNTK,,2021-01-22,8.50,11.11,Montauk Renewables,30.71%
MOHO,,2019-11-08,10.00,2.65,ECMOHO Limited,-73.50%
MONCU,MON,2021-01-14,10.00,10.38,Monument Circle Acquisition,3.75%
MORF,,2019-06-27,15.00,31.28,Morphic Holding,108.53%
MOTN,,2020-10-15,10.00,10.39,Motion Acquisition,3.90%
MOTV,,2020-12-11,10.00,11.05,Motive Capital,10.50%
MRAC,,2020-12-15,10.00,10.84,Marquee Raine Acquisition,8.40%
MRM,,2020-12-29,15.00,13.67,Medirom Healthcare,-8.87%
MRVI,,2020-11-20,27.00,31.29,Maravai LifeSciences,15.89%
MSGM,,2021-01-13,20.00,29.84,Motorsport Games,49.18%
MSP,,2020-10-21,27.00,25.97,Datto,-3.81%
MTAC,,2020-12-18,10.00,10.55,MedTech Acquisition,5.50%
MTC,,2019-01-08,4.00,2.43,"MMTec, Inc.",-39.25%
MTCR,,2020-09-16,13.00,9.35,Metacrine,-28.08%
MUDS,,2020-12-08,10.00,10.63,Mudrick Capital Acquisition II,6.30%
MWK,,2019-06-12,10.00,26.00,Mohawk Group Holdings,160.00%
MYTE,,2021-01-21,26.00,33.44,MYT Netherlands,28.62%
NAACU,NAAC,2021-01-22,10.00,10.44,North Atlantic Acquisition,4.40%
NARI,,2020-05-22,19.00,106.93,Inari Medical,462.79%
NBA,,2020-10-30,10.00,10.27,New Beginnings Acquisition,2.70%
NBAC,,2020-02-14,10.00,17.63,Newborn Acquisition,76.30%
NBTX,,2020-12-11,13.50,19.00,Nanobiotix,40.74%
NCNO,,2020-07-14,31.00,72.39,"nCino, Inc.",133.52%
NEBC,,2020-12-09,10.00,11.44,Nebula Caravel Acquisition,14.40%
NET,,2019-09-13,15.00,83.53,Cloudflare,456.87%
NFE,,2019-01-31,14.00,46.40,New Fortress Energy,231.43%
NFIN,,2019-07-31,10.00,11.40,Netfin Acquisition,14.00%
NGA,,2020-08-18,10.00,27.28,Northern Genesis Acquisition,172.80%
NGAB,NGAB,2021-01-13,10.00,11.76,Northern Genesis Acquisition II,17.55%
NGAC,,2020-10-07,10.00,10.35,NextGen Acquisition,3.50%
NGM,,2019-04-04,16.00,28.66,NGM Biopharmaceuticals,79.09%
NGMS,,2020-11-19,17.00,29.90,NeoGames,75.88%
NHIC,,2020-07-31,10.00,10.43,NewHold Investment Corp.,4.30%
NKTX,,2020-07-10,18.00,49.36,Nkarta,174.19%
NMMC,,2020-09-18,10.00,10.62,North Mountain Merger,6.20%
NNOX,,2020-08-21,18.00,65.98,Nano-X Imaging,266.56%
NOAC,,2020-11-11,10.00,11.85,Natural Order Acquisition,18.50%
NOVA,,2019-07-25,12.00,53.87,Sunnova Energy,348.92%
NOVS,,2020-05-15,10.00,24.84,Novus Capital,148.40%
NPA,,2019-09-11,10.00,16.03,New Providence Acquisition,60.25%
NREF,,2020-02-07,19.00,16.45,NexPoint Real Estate Finance,-13.42%
NRIX,,2020-07-24,19.00,46.34,Nurix Therapeutics,143.87%
NSH,,2020-09-10,10.00,10.52,NavSight Holdings,5.15%
NTST,,2020-08-13,18.00,17.69,NetSTREIT,-1.72%
NUZE,,2020-06-19,9.00,9.80,"NuZee, Inc.",8.89%
NVST,,2019-09-18,22.00,36.64,Envista Holdings,66.52%
NXTC,,2019-05-09,15.00,13.55,NextCure,-9.70%
OAC,,2019-07-18,10.00,16.38,Oaktree Acquisition,63.80%
OACB,,2020-09-17,10.00,10.88,Oaktree Acquisition II,8.80%
OCA,,2020-11-20,10.00,11.20,Omnichannel Acquisition,12.00%
OCAXU,OCAX,2021-01-15,10.00,10.38,OCA Acquisition,3.80%
OCFT,,2019-12-13,10.00,22.31,OneConnect Financial Technology,123.10%
OCG,,2020-12-15,4.00,4.98,Oriental Culture Holding,24.50%
OLMA,,2020-11-19,19.00,45.36,Olema Pharmaceuticals,138.74%
OM,,2020-09-15,27.00,54.37,Outset Medical,101.37%
OMEG,,2021-01-07,10.00,10.70,Omega Alpha SPAC,7.00%
ONCR,,2020-10-02,15.00,25.95,Oncorus,73.00%
ONEM,,2020-01-31,14.00,50.33,1Life Healthcare,259.50%
ONEW,,2020-02-07,12.00,35.01,OneWater Marine,191.75%
OPRT,,2019-09-26,15.00,16.75,Oportun Financial,11.63%
OPT,,2020-10-16,13.50,11.70,Opthea,-13.33%
ORCC,,2019-07-18,15.30,13.21,Owl Rock Capital,-13.69%
ORIC,,2020-04-24,16.00,32.88,Oric Pharmaceuticals,105.47%
ORPH,,2020-09-29,11.00,13.65,Orphazyme,24.09%
ORSN,,2019-08-02,10.00,8.17,Orisun Acquisition,-18.30%
OSH,,2020-08-06,21.00,54.75,Oak Street Health,160.71%
OSTRU,OSTR,2021-01-20,10.00,10.21,Oyster Enterprises Acquisition,2.05%
OTRA,,2020-11-17,10.00,10.26,OTR Acquisition,2.60%
OYST,,2019-10-31,16.00,19.87,Oyster Point Pharma,24.19%
OZON,,2020-11-24,30.00,53.25,Ozon Holdings,77.50%
PACE,,2020-10-07,10.00,11.86,TPG Pace Tech Opportunities,18.55%
PACX,,2021-01-08,10.00,10.71,Pioneer Merger,7.10%
PAIC,,2020-10-08,10.00,10.23,Petra Acquisition,2.30%
PANA,,2020-07-01,10.00,11.08,Panacea Acquisition,10.75%
PAND,,2020-07-17,18.00,18.13,Pandion Therapeutics,0.72%
PAQC,,2021-01-08,10.00,11.45,Provident Acquisition,14.50%
PASG,,2020-02-28,18.00,20.04,Passage Bio,11.33%
PAX,,2021-01-22,17.00,20.05,Patria Investments,17.94%
PBTS,,2019-04-02,5.00,2.81,Powerbridge Technologies,-43.72%
